item,tipo,item_desc,cant_equipo,cant_proyecto,origen,referencia,plano_corte,plano_vistas,material,desarrollo,masa_kg,area_m2_pintar,bbox_m2_plancha
1,FABRICADA,Bracket soporte B_005A 24V (ángulo: cruciformes + pivote/arco de aplome),6,24,maestranza / taller,,LBD-01,LB-02,Acero S275JR e3 — PINTADO RAL 7035,203×130.8,0.44,0.038,0.027
2,FABRICADA,Cabezal porta-nosebar descarga PL6 470×55,1,4,maestranza / taller,,LBD-02,LB-03,Acero S275JR PL6 — PINTADO RAL 7035,470×55,1.16,0.049,0.026
3,FABRICADA,Cabezal porta-nosebar entrada PL6 470×55,1,4,maestranza / taller,,LBD-02,LB-03,Acero S275JR PL6 — PINTADO RAL 7035,470×55,1.16,0.049,0.026
4,FABRICADA,Columna soporte 24V canal C 77×38×3 (pivote+arco / apriete 3×M10),6,24,maestranza / taller,,LBD-03,LB-04,Acero S275JR e3 — PINTADO RAL 7035,578×142.6,1.9,0.161,0.082
5,FABRICADA,EJE MOTRIZ cuadrado 38.1 — L=681 (muñones Ø30 h6),1,4,maestranza / taller,,,LBP530-EJ-01,,,6.5,undefined,undefined
6,FABRICADA,EJE TENSOR cuadrado 38.1 — L=566 (muñones Ø30 h6),1,4,maestranza / taller,,,LBP530-EJ-02,,,5.9,undefined,undefined
7,FABRICADA,Guarda motriz — costado libre e2 (358×330),1,4,maestranza / taller,,LBD-04,LB-05,Acero S275JR e2.0 — terminación PINTADO RAL 7035,358×417.1,2.33,0.297,0.149
8,FABRICADA,Guarda motriz — costado motor e2 (358×330),1,4,maestranza / taller,,LBD-05,LB-06,Acero S275JR e2.0 — terminación PINTADO RAL 7035,358×403.1,2.2,0.28,0.144
9,FABRICADA,Guarda motriz — fondo con tapa e2 (356×612),1,4,maestranza / taller,,LBD-06,LB-07,Acero S275JR e2.0 — terminación PINTADO RAL 7035,684.5×612,6.57,0.837,0.419
10,FABRICADA,Guarda tensor — costado lateral e2 (617×235),2,8,maestranza / taller,,LBD-07,LB-08,Acero S275JR e2.0 — terminación PINTADO RAL 7035,617×322.1,3.11,0.396,0.199
11,FABRICADA,Guarda tensor — fondo con tapa e2 (615×626),1,4,maestranza / taller,,LBD-08,LB-09,Acero S275JR e2.0 — terminación PINTADO RAL 7035,848.5×626,8.33,1.062,0.531
12,FABRICADA,Mecha porta-chumacera PL8 motriz 320×422,2,8,maestranza / taller,,LBD-09,LB-10,Acero S275JR PL8 — PINTADO RAL 7035,320×422,8.33,0.265,0.135
13,FABRICADA,Mecha porta-chumacera PL8 tensor 320×362,2,8,maestranza / taller,,LBD-10,LB-11,Acero S275JR PL8 — PINTADO RAL 7035,320×362,7.13,0.227,0.116
16,FABRICADA,Portacarril 50×6 con clips (apernado M6 al alma),5,20,maestranza / taller,,LBD-12,LB-12,Acero S275JR e6 — PINTADO RAL 7035,462×50,1.07,0.045,0.023
17,FABRICADA,"Rodillo retorno Ø63.5 — tubo A513 Ø63,5×3,0 + 2 cabezales torneados asiento Ø35 H7 + seeger DIN 472-35 · eje muerto Ø15 SAE1045 roscado M8 — plano LBP530-EJ-04",8,32,maestranza / taller,,,LBP530-EJ-04,,,,undefined,undefined
18,FABRICADA,Tira telescópica BR_3002 84×38×3 (10 ranuras 11×20) + pata B_004A (soldada),6,24,maestranza / taller,,LBD-13,LB-13,Acero S275JR e3 — PINTADO RAL 7035,369×149.6,1.25,0.106,0.055
19,FABRICADA,Travesaño de patas B_002A canal 71×38×3 (L=470),3,12,maestranza / taller,,LBD-14,LB-14,Acero S275JR e3 — PINTADO RAL 7035,476×74.1,0.03,0.002,0.035
20,FABRICADA,"Travesaño TR_S 24V — C 88×88×3, orejas apernadas (L=460)",5,20,maestranza / taller,,LBD-15,LB-15,"Acero S275JR e3 — plegado C 88×88 (perfil TR_S del ZP2026), PINTADO RAL 7035. OREJAS 120×60×4 soldadas en extremos; conjunto APERNADO 2×M6 por extremo",460×253.6,2.75,0.233,0.117
21,FABRICADA,"Pletina 12×30 × 4904 — guía de apoyo de canto (corte a largo, sin láser)",10,40,maestranza / taller,,,,Barra laminada S235/A36 12×30 — SOLDAR a travesaños según especificación de soldadura del GA,12×30×4904,13.9,undefined,undefined
22,COMPRADA,Banda Movex 530 LBP 18 in — lazo 10.95 m,1,4,Movex · Italia (importado),P5324010018A,,,,,,undefined,undefined
23,COMPRADA,Chumacera UCF206 Ø30,4,16,rodamientos · local,,,,,,,undefined,undefined
24,COMPRADA,Collarín P21703Y (fija el sprocket central),2,8,Movex · Italia (importado),P21703Y,,,,,,undefined,undefined
25,COMPRADA,Collarín P21703Y (referencia eje tensor),2,8,Movex · Italia (importado),P21703Y,,,,,,undefined,undefined
26,COMPRADA,Guía de apoyo: pletina 12×30 + BAR CAP 17.53×19.05 (P101203-30),10,40,Movex · Italia (importado),P101203-30,,,,,,undefined,undefined
27,COMPRADA,Guía lateral conical rail L 1¼ in (P12501C) + escuadras,2,8,Movex · Italia (importado),P12501C,,,,,,undefined,undefined
28,COMPRADA,"Motorreductor NMRV-P 075 FA 1/30 PAM 80B14 eje hueco Ø30 H8 + motor 0,55 kW 80A-4 (46 rpm · 89 Nm · fs 2,8) + brazo de torque",1,4,Motovario (distribuidor local),,,,,,,undefined,undefined
29,COMPRADA,"Nosebar descarga 18 in (3× K6 in, montaje IDLER=acumulación) — P22868 — nosebar 530 LBP h19 C/RODAMIENTOS, L=6 in, 6 forai, BluLub (cotización) — CANT en segmentos K6 in (unidad de compra)",3,12,Movex · Italia (importado),P22868,,,,,,undefined,undefined
30,COMPRADA,"Nosebar entrada 18 in (3× K6 in, montaje IDLER=acumulación) — P22868 — nosebar 530 LBP h19 C/RODAMIENTOS, L=6 in, 6 forai, BluLub (cotización) — CANT en segmentos K6 in (unidad de compra)",3,12,Movex · Italia (importado),P22868,,,,,,undefined,undefined
31,COMPRADA,Ojal ciego Ø25 EPDM (tapón de puerto de grasera),3,12,local,,,,,,,undefined,undefined
32,COMPRADA,Rodamiento 6202-2RS (15×35×11) sellado,16,64,rodamientos · local,,,,,,,undefined,undefined
33,COMPRADA,Rodillos LBP Ø12.2 POM rojo (97 filas × 12),1,4,Movex — integrados en la banda 530 LBP (no se piden aparte),,,,,,,undefined,undefined
34,COMPRADA,"Separador guarda Ø12×51 (pasada Ø6,4, torneado)",4,16,local,,,,,,,undefined,undefined
35,COMPRADA,"Separador guarda Ø12×65 (pasada Ø6,4, torneado)",12,48,local,,,,,,,undefined,undefined
36,COMPRADA,"Sprocket P158808YF moldeado Z-32, bore cuadrado 1.5 in, grano M8 (cotización 26012937)",5,20,Movex · Italia (importado),P158808YF,,,,,,undefined,undefined
37,COMPRADA,"Sprocket Z32 loco (flotante +0.4/+0.3, grano suelto)",2,8,Movex · Italia (importado),P158808YF,,,,,,undefined,undefined
38,COMPRADA,"Chaveta DIN 6885 A 8×7×90, acero C45",1,4,local,,,,muñón motriz → cubo del motorreductor (1 por eje motriz),,,undefined,undefined
39,COMPRADA,Arandela de retención Ø40×6 + tornillo M10×25 8.8 + Loctite 243,1,4,local,,,,retención axial del motorreductor en la rosca M10×22 de punta de eje (EJ-01 nota 6),,,undefined,undefined
40,COMPRADA,Anillo seeger DIN 472 Ø35 (interior),16,64,local,,,,retiene el 6202 en el asiento del cabezal del rodillo (LBP530-EJ-04),,,undefined,undefined
41,TORNILLERÍA,Perno hex M8×25 8.8 + golilla plana y presión,16,64,local,,,,"fija el eje muerto de cada rodillo de retorno, por fuera de la placa (2 por rodillo; rosca interior M8×16 del eje — un perno más largo topa fondo)",,,undefined,undefined
42,TORNILLERÍA,Perno hex M6×16 8.8 + tuerca + golillas (orejas TR_S),20,80,local,,,,orejas del travesaño TR_S → alma (2 por extremo),,,undefined,undefined
43,TORNILLERÍA,Perno hex M6×16 8.8 + tuerca + golillas (clips portacarril),20,80,local,,,,clips del portacarril → alma (2 por lado),,,undefined,undefined
44,TORNILLERÍA,Perno M6×20 avellanado (carril de apoyo),50,200,local,,,,"portacarril → pletina del carril ROSCADA M6 (desde abajo, 1 por carril por portacarril)",,,undefined,undefined
45,TORNILLERÍA,Perno hex M8×20 8.8 + tuerca + golillas (bracket soporte),24,96,local,,,,"ala del bracket B_005A → ala inferior del canal, por ranuras cruciformes (4 por bracket — regulación en 2 ejes)",,,undefined,undefined
46,TORNILLERÍA,Perno hex M10×30 8.8 + tuerca + golillas (mechas),24,96,local,,,,"mecha PL8 → alma (6 por mecha — Rev.C apernada, sin soldadura)",,,undefined,undefined
47,TORNILLERÍA,Perno hex M6×16 8.8 + tuerca + golillas (clips cabezal),8,32,local,,,,clips del cabezal porta-nosebar → alma (2 por extremo),,,undefined,undefined
48,TORNILLERÍA,Perno hex M10×30 8.8 + tuerca + golilla ancha (apriete telescópico),18,72,local,,,,aprieta la tira BR_3002 contra la columna en las ranuras 11×20 que calcen (3 por pata — ajuste de ALTURA; vernier con la ranura 11×110 de la columna),,,undefined,undefined
49,TORNILLERÍA,Perno de anclaje M10×90 (piso),12,48,local,,,,pata B_004A de la tira → losa (2 por pata),,,undefined,undefined
50,TORNILLERÍA,Perno pivote M10×25 + tuerca (pivote y arco de aplome),12,48,local,,,,columna → bracket B_005A: 1 pivote + 1 perno viajando por la RANURA EN ARCO (aplome angular),,,undefined,undefined
51,TORNILLERÍA,Espárrago M6×85 8.8 + tuerca ciega M6 + golilla,12,48,local,,,,roscado CIEGO de la mecha (8) → separador Ø12×65 → costado de guarda; el espárrago queda en la máquina (ISO 14120 §5.19),,,undefined,undefined
52,TORNILLERÍA,Espárrago M6×70 8.8 + tuerca ciega M6 + golilla,4,16,local,,,,ídem con separador Ø12×51 (lado motor),,,undefined,undefined
